Company,Address,Address Source,Latitude,Longitude,Area,Startup Source
Abnormal Security,"New York, New York, 10003",OpenStreetMap/Nominatim reverse geocode from map pin,40.7349661,-73.9905946,flatiron,felt
Adonis,"55 Wall Street, New York, New York, 10005",OpenStreetMap/Nominatim reverse geocode from map pin,40.7058848,-74.0091414,fidi,felt
Arena AI,"117 East 15th Street, New York, New York, 10003",OpenStreetMap/Nominatim reverse geocode from map pin,40.7349396,-73.9885798,flatiron,felt+airtable
Axion Ray,"99 Grand Street, New York, New York, 11249",OpenStreetMap/Nominatim reverse geocode from map pin,40.7156999,-73.963491,brooklyn,felt+airtable
Basis,"18 East 18th Street, New York, New York, 10003",OpenStreetMap/Nominatim reverse geocode from map pin,40.7377422,-73.9908636,flatiron,felt+airtable
Captions,"45 East 9th Street, New York, New York, 10003",OpenStreetMap/Nominatim reverse geocode from map pin,40.7317604,-73.9932236,flatiron,felt+airtable
Character.ai,"115 East 9th Street, New York, New York, 10003",OpenStreetMap/Nominatim reverse geocode from map pin,40.7306952,-73.9892212,flatiron,felt+airtable
Cognition,"232 East 13th Street, New York, New York, 10003",OpenStreetMap/Nominatim reverse geocode from map pin,40.7319764,-73.9865154,flatiron,felt+airtable
Cohere,"23 Bethune Street, New York, New York, 10014",OpenStreetMap/Nominatim reverse geocode from map pin,40.7366681,-74.0072847,west-side,felt+airtable
Conductor AI,"172 Pearl Street, New York, New York, 10005",OpenStreetMap/Nominatim reverse geocode from map pin,40.7063507,-74.0071942,fidi,felt+airtable
Datadog,"450 7th Avenue, New York, New York, 10123",OpenStreetMap/Nominatim reverse geocode from map pin,40.7514064,-73.990283,midtown,felt+airtable
Diode,"9th Row, New York, New York, 11251",OpenStreetMap/Nominatim reverse geocode from map pin,40.698723,-73.9760711,brooklyn,felt+airtable
Diplo AI,"68 William Street, New York, New York, 10005",OpenStreetMap/Nominatim reverse geocode from map pin,40.7076981,-74.0083393,fidi,felt
Eleven Labs,"177 Madison Avenue, New York, New York, 10016",OpenStreetMap/Nominatim reverse geocode from map pin,40.7473539,-73.9829156,midtown,felt+airtable
Endex,"433 West Broadway, New York, New York, 10012",OpenStreetMap/Nominatim reverse geocode from map pin,40.7253805,-74.0010235,west-side,felt+airtable
Etsy,"Tillary Street, New York, New York, 11242",OpenStreetMap/Nominatim reverse geocode from map pin,40.6961032,-73.9899614,brooklyn,felt+airtable
Fractal Tech,"49 South 2nd Street, New York, New York, 11249",OpenStreetMap/Nominatim reverse geocode from map pin,40.7148223,-73.9660652,brooklyn,felt
Glif.app,"89 East 42nd Street, New York, New York, 10017",OpenStreetMap/Nominatim reverse geocode from map pin,40.7522186,-73.9772717,midtown,felt+airtable
Hebbia,"455 Broadway, New York, New York, 10013",OpenStreetMap/Nominatim reverse geocode from map pin,40.7207237,-74.0010337,soho,felt+airtable
Hugging Face,"104 Tillary Street, New York, New York, 11201",OpenStreetMap/Nominatim reverse geocode from map pin,40.6960721,-73.9864229,brooklyn,felt+airtable
Hume.ai,"50 Gramercy Park North, New York, New York, 10010",OpenStreetMap/Nominatim reverse geocode from map pin,40.7383425,-73.986331,flatiron,felt+airtable
Modal,"8 Centre Market Place, New York, New York, 10013",OpenStreetMap/Nominatim reverse geocode from map pin,40.7201832,-73.997414,soho,felt+airtable
Nomic,"110 East 14th Street, New York, New York, 10003",OpenStreetMap/Nominatim reverse geocode from map pin,40.7338522,-73.988917,flatiron,felt
